SMILES,FingerPrint_0,FingerPrint_1
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,26.056532,-92.103546
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,26.706676,-94.27082
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,16.55226,-86.12125
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,55.55119,21.773767
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,37.59405,-53.61986
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,-16.878502,-66.37903
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,27.10397,7.2463264
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,-16.823374,-66.37536
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,-4.5969915,-59.66534
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,70.15166,15.240533
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,70.052376,-69.39808
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,46.35353,-14.052281
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,12.965227,-15.809891
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,66.68404,-1.5149907
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,-26.029884,-36.409573
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,8.841545,-37.325424
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,24.137018,18.601398
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,36.244663,39.582302
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,22.638496,-74.35569
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,19.022926,-99.836464
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,28.335117,-87.39374
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,16.580088,-86.13754
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,-7.155295,-56.737232
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,45.31446,-16.15027
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,58.733566,52.081203
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,89.115005,-33.199814
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,58.69976,52.097694
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,62.1606,3.5286577
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,70.8336,-69.508125
